,,,,,,Scoring,,,,,Goals,,,,Assists,,,,,Ice Time,,,,,,
Rk,Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
438,Brian Dumoulin\dumoubr01,25,D,PIT,63,0,13,13,2,14,0,0,0,0,10,3,0,74,0.0,1288,20:27,86,97,0,0,
439,Brooks Orpik\orpikbr01,36,D,WSH,70,0,13,13,32,46,0,0,0,0,13,0,0,74,0.0,1242,17:45,115,173,0,0,
440,Shawn Matthias\matthsh01,28,LW,WPG,45,8,4,12,0,13,7,0,1,1,4,0,0,51,15.7,610,13:34,19,47,5,11,31.3
441,Tommy Wingels\wingeto01,28,C,TOT,64,7,5,12,-5,25,7,0,0,2,5,0,0,71,9.9,679,10:37,45,109,104,134,43.7
442,Chris VandeVelde\vandech01,29,C,PHI,73,6,6,12,-7,16,6,0,0,0,6,0,0,62,9.7,844,11:33,54,97,22,19,53.7
443,Chris Kelly\kellych01,36,C,OTT,73,5,7,12,-14,21,4,0,1,2,7,0,0,79,6.3,899,12:19,42,62,213,260,45.0
444,Tanner Kero\kerota01,24,RW,CHI,39,5,7,12,12,8,5,0,0,0,7,0,0,43,11.6,514,13:10,39,36,168,202,45.4
445,Colin Miller\milleco02,24,D,BOS,57,5,7,12,-2,49,4,1,0,0,6,1,0,82,6.1,906,15:54,32,78,0,0,
446,Nick Shore\shoreni01,24,C,LAK,63,5,7,12,-3,20,4,0,1,1,7,0,0,71,7.0,793,12:35,19,53,310,321,49.1
447,Dan Girardi\girarda01,32,D,NYR,56,4,8,12,8,16,3,0,1,3,7,0,1,52,7.7,1061,18:57,149,94,0,0,
448,Andy Greene\greenan01,34,D,NJD,57,4,8,12,-11,6,2,1,1,1,6,2,0,71,5.6,1258,22:05,111,43,0,0,
449,Kyle Quincey\quincky01,31,D,TOT,64,4,8,12,1,41,4,0,0,0,8,0,0,71,5.6,1162,18:10,79,84,0,0,
450,Devin Setoguchi\setogde01,30,RW,LAK,45,4,8,12,-5,14,4,0,0,0,7,1,0,60,6.7,560,12:27,10,53,2,2,50.0
451,Patrick Wiercioch\wiercpa01,26,D,COL,56,4,8,12,-18,21,4,0,0,0,8,0,0,62,6.5,937,16:44,57,51,1,0,100.0
452,Anthony Duclair\duclaan01,21,LW,ARI,51,3,9,12,-7,14,3,0,0,0,7,2,0,69,4.3,678,13:17,17,20,4,3,57.1
453,Xavier Ouellet\ouellxa01,23,D,DET,57,3,9,12,1,46,3,0,0,0,9,0,0,79,3.8,1035,18:09,76,61,0,1,0.0
454,Ben Chiarot\chiarbe01,25,D,WPG,59,2,10,12,2,33,2,0,0,0,10,0,0,49,4.1,904,15:19,94,78,0,0,
455,Luca Sbisa\sbisalu01,27,D,VAN,73,2,10,12,1,38,2,0,0,1,10,0,0,69,2.9,1391,19:03,110,116,0,0,
456,Erik Johnson\johnser01,28,D,COL,37,1,11,12,-12,4,1,0,0,0,6,5,0,74,1.4,800,21:37,86,71,0,0,
457,Marc Methot\methoma01,31,D,OTT,68,0,12,12,13,24,0,0,0,0,12,0,0,69,0.0,1348,19:49,77,164,0,0,
458,Magnus Paajarvi\paajama01,25,LW,STL,23,8,3,11,6,4,7,1,0,3,3,0,0,39,20.5,275,11:56,14,25,1,2,33.3
459,Tyler Pitlick\pitlity01,25,RW,EDM,31,8,3,11,0,6,8,0,0,1,3,0,0,54,14.8,308,9:55,13,70,8,7,53.3
460,Michael Raffl\rafflmi01,28,LW,PHI,52,8,3,11,-7,20,8,0,0,3,3,0,0,63,12.7,690,13:16,22,91,3,7,30.0
461,Oliver Bjorkstrand\bjorkol01,21,RW,CBJ,22,6,5,11,6,6,6,0,0,2,5,0,0,48,12.5,302,13:45,7,13,1,0,100.0
462,Eric Fehr\fehrer01,31,C,TOT,53,6,5,11,2,14,6,0,0,3,5,0,0,62,9.7,579,10:56,35,82,79,76,51.0
463,Johan Larsson\larssjo02,24,C,BUF,36,6,5,11,-7,20,5,1,0,2,5,0,0,49,12.2,607,16:51,23,33,261,271,49.1
464,Lawson Crouse\crousla01,19,LW,ARI,64,5,6,11,-15,46,4,0,1,2,6,0,0,78,6.4,757,11:50,26,139,1,1,50.0
465,Marko Dano\danoma01,22,C,WPG,37,4,7,11,1,10,2,2,0,0,7,0,0,42,9.5,399,10:46,14,83,1,3,25.0
466,Anthony DeAngelo\deangan01,21,D,ARI,33,4,7,11,-9,35,2,2,0,1,2,5,0,56,7.1,571,17:18,41,22,0,0,
467,Jordan Schroeder\schrojo01,26,C,MIN,33,4,7,11,5,0,4,0,0,0,7,0,0,32,12.5,320,9:43,14,25,13,14,48.1
468,Justin Braun\braunju01,29,D,SJS,74,3,8,11,1,26,3,0,0,0,7,0,1,87,3.4,1492,20:10,150,126,0,0,
469,Cody Eakin\eakinco01,25,C,DAL,52,3,8,11,-5,47,3,0,0,1,6,2,0,67,4.5,864,16:37,29,57,441,412,51.7
470,Jiri Hudler\hudleji01,33,RW,DAL,32,3,8,11,-3,4,2,1,0,1,8,0,0,27,11.1,379,11:51,3,9,3,2,60.0
471,Josh Jooris\joorijo01,26,RW,TOT,46,3,8,11,-2,16,3,0,0,0,7,0,1,66,4.5,544,11:49,26,41,189,173,52.2
472,Mark Barberio\barbema01,26,D,TOT,51,2,9,11,-5,14,1,1,0,0,6,3,0,68,2.9,910,17:50,48,16,0,0,
473,Kevin Bieksa\biekske01,35,D,ANA,73,2,9,11,-2,63,1,1,0,0,7,2,0,89,2.2,1367,18:44,90,158,0,0,
474,Adam Clendening\clendad01,24,D,NYR,29,2,9,11,4,17,1,1,0,0,8,1,0,38,5.3,456,15:43,26,19,0,0,
475,Micheal Haley\haleymi01,30,C,SJS,53,2,9,11,4,95,2,0,0,1,9,0,0,36,5.6,487,9:12,20,120,55,67,45.1
476,Kevan Miller\milleke03,29,D,BOS,50,2,9,11,-2,37,2,0,0,0,8,0,1,47,4.3,874,17:29,62,103,0,0,
477,Ryan Murray\murrary01,23,D,CBJ,60,2,9,11,3,24,2,0,0,0,7,1,1,52,3.8,1100,18:20,96,23,0,0,
478,Alexander Burmistrov\burmial01,25,C,TOT,42,1,10,11,-8,12,0,1,0,0,8,1,1,35,2.9,537,12:47,16,58,136,205,39.9
479,Niklas Kronwall\kronwni01,36,D,DET,49,1,10,11,-8,26,1,0,0,0,4,6,0,53,1.9,936,19:06,67,59,0,0,
480,Brian Flynn\flynnbr01,28,C,MTL,49,6,4,10,3,4,6,0,0,0,4,0,0,46,13.0,589,12:01,28,18,69,80,46.3
481,Nick Bjugstad\bjugsni01,24,C,FLA,45,5,5,10,-21,20,4,1,0,0,4,1,0,78,6.4,582,12:56,5,66,132,141,48.4
482,Kyle Clifford\cliffky01,26,LW,LAK,66,5,5,10,-1,85,5,0,0,0,5,0,0,108,4.6,707,10:43,6,135,2,3,40.0
483,Matthew Nieto\nietoma01,24,LW,TOT,50,5,5,10,-12,8,5,0,0,1,5,0,0,74,6.8,748,14:58,29,34,2,4,33.3
484,Joakim Nordstrom\nordsjo02,24,LW,CAR,72,5,5,10,-10,17,4,0,1,1,5,0,0,90,5.6,909,12:38,38,124,7,19,26.9
485,Joseph Cramarossa\cramajo01,24,LW,TOT,59,4,6,10,0,60,4,0,0,1,4,0,2,36,11.1,587,9:57,23,133,6,1,85.7
486,Tyler Ennis\ennisty01,27,LW,BUF,43,4,6,10,-6,8,4,0,0,0,4,2,0,70,5.7,534,12:25,20,36,3,12,20.0
487,Cedric Paquette\paquece01,23,C,TBL,58,4,6,10,-6,80,4,0,0,0,6,0,0,68,5.9,668,11:31,46,144,200,234,46.1
488,Ryan Reaves\reavery01,30,RW,STL,71,4,6,10,4,92,4,0,0,1,6,0,0,46,8.7,606,8:32,22,206,0,5,0.0
489,Anton Slepyshev\slepyan01,22,LW,EDM,37,4,6,10,5,2,4,0,0,0,6,0,0,50,8.0,407,10:00,12,54,1,2,33.3
490,Braydon Coburn\coburbr01,31,D,TBL,72,3,7,10,-1,41,3,0,0,0,7,0,0,84,3.6,1174,16:18,67,94,0,0,
491,Danny DeKeyser\dekeyda01,26,D,DET,73,3,7,10,-15,29,3,0,0,2,7,0,0,76,3.9,1617,22:09,150,92,0,0,
492,Peter Holland\hollape01,26,C,TOT,43,3,7,10,-16,16,2,1,0,0,7,0,0,66,4.5,554,12:53,8,34,203,258,44.0
493,Brandon Manning\mannibr01,26,D,PHI,58,3,7,10,-14,58,2,0,1,1,7,0,0,76,3.9,1037,17:53,63,107,0,1,0.0
494,Brenden Dillon\dillobr01,26,D,SJS,73,2,8,10,-3,56,2,0,0,0,8,0,0,80,2.5,1192,16:19,69,161,0,0,
495,Josh Leivo\leivojo01,23,LW,TOR,13,2,8,10,2,4,1,1,0,0,6,2,0,27,7.4,163,12:34,4,5,1,1,50.0
496,Andrej Sustr\sustran01,26,D,TBL,72,2,8,10,-9,41,2,0,0,1,8,0,0,85,2.4,1264,17:33,90,42,0,0,
497,Dmitrij Jaskin\jaskidm01,23,RW,STL,47,1,9,10,3,18,1,0,0,0,9,0,0,52,1.9,545,11:35,17,94,5,5,50.0
498,Riley Sheahan\sheahri01,25,C,DET,71,0,10,10,-24,14,0,0,0,0,8,2,0,98,0.0,988,13:55,31,63,230,222,50.9
499,Nikita Zadorov\zadorni01,21,D,COL,56,0,10,10,-20,73,0,0,0,0,8,2,0,61,0.0,1066,19:02,69,153,0,0,
500,Tyler Graovac\graovty01,23,C,MIN,52,7,2,9,7,10,7,0,0,2,2,0,0,48,14.6,512,9:50,15,52,163,180,47.5
501,Matt Martin\martima02,27,LW,TOR,73,5,4,9,1,97,5,0,0,0,4,0,0,60,8.3,647,8:52,24,267,0,10,0.0
502,Brad Richardson\richabr02,31,RW,ARI,16,5,4,9,-1,15,3,0,2,0,3,0,1,25,20.0,246,15:21,7,19,121,109,52.6
503,Nikita Soshnikov\soshnni01,23,RW,TOR,56,5,4,9,1,16,5,0,0,0,3,1,0,70,7.1,608,10:51,28,101,2,15,11.8
504,Stephen Johns\johnsst03,24,D,DAL,56,4,5,9,-7,31,4,0,0,1,5,0,0,84,4.8,1030,18:23,123,153,0,0,
505,Devante Smith-Pelly\smithde06,24,RW,NJD,53,4,5,9,-18,12,4,0,0,0,3,2,0,76,5.3,716,13:30,32,94,29,42,40.8
506,Dale Weise\weiseda01,28,RW,PHI,55,4,5,9,-5,17,3,1,0,1,4,1,0,74,5.4,711,12:56,18,114,3,0,100.0
507,Joseph Blandisi\blandjo01,22,LW,NJD,21,3,6,9,-8,20,2,1,0,2,2,4,0,20,15.0,277,13:12,3,29,63,67,48.5
508,Nick Jensen\jenseni02,26,D,DET,40,3,6,9,-1,12,3,0,0,0,6,0,0,49,6.1,693,17:19,42,46,0,0,
509,Marc Staal\staalma01,30,D,NYR,65,3,6,9,9,34,3,0,0,0,5,0,1,63,4.8,1248,19:12,86,80,0,1,0.0
510,Daniel Carr\carrda01,25,LW,MTL,33,2,7,9,4,6,2,0,0,1,7,0,0,44,4.5,338,10:15,12,19,2,1,66.7
511,Fredrik Claesson\claesfr01,24,D,OTT,24,2,7,9,3,0,2,0,0,0,6,0,1,16,12.5,258,10:46,13,35,0,0,
512,Alexei Emelin\emelial01,30,D,MTL,70,2,7,9,-3,65,2,0,0,0,7,0,0,78,2.6,1502,21:27,119,226,0,0,
513,Adam McQuaid\mcquaad01,30,D,BOS,69,2,7,9,3,69,2,0,0,1,6,0,1,59,3.4,1233,17:52,122,143,0,0,
514,Johnny Oduya\oduyajo01,35,D,TOT,44,2,7,9,-2,14,2,0,0,0,7,0,0,28,7.1,804,18:17,106,26,0,0,
515,Jonathan Ericsson\ericsjo01,32,D,DET,51,1,8,9,-2,63,1,0,0,0,8,0,0,43,2.3,980,19:13,36,86,0,0,
516,Jason Garrison\garrija01,32,D,TBL,69,1,8,9,-8,14,1,0,0,0,8,0,0,94,1.1,1289,18:41,89,93,0,0,
517,Kris Russell\russekr01,29,D,EDM,60,1,8,9,4,23,1,0,0,1,8,0,0,56,1.8,1277,21:17,185,60,0,0,
518,Stefan Noesen\noesest01,23,RW,TOT,36,6,2,8,4,18,6,0,0,0,2,0,0,51,11.8,385,10:42,9,42,23,38,37.7
519,Matt Puempel\puempma01,24,LW,TOT,36,6,2,8,-11,11,3,3,0,1,2,0,0,40,15.0,344,9:34,9,26,0,1,0.0
520,Colton Sissons\sissoco01,23,C,NSH,49,6,2,8,7,4,5,0,1,1,2,0,0,28,21.4,514,10:30,21,87,121,139,46.5
521,Jay McClement\mccleja01,33,C,CAR,65,5,3,8,-8,18,4,0,1,1,3,0,0,37,13.5,740,11:23,40,49,253,272,48.2
522,Michael Chaput\chapumi01,24,C,VAN,59,4,4,8,-7,25,4,0,0,0,4,0,0,50,8.0,608,10:18,25,59,202,180,52.9
523,Joe Colborne\colbojo01,27,C,COL,59,4,4,8,-20,30,2,2,0,0,3,1,0,46,8.7,637,10:48,12,82,44,72,37.9
524,Denis Malgin\malgide01,20,C,FLA,42,4,4,8,-1,8,3,1,0,1,4,0,0,51,7.8,464,11:03,11,28,57,108,34.5
525,Jayson Megna\megnaja01,26,C,VAN,53,4,4,8,-4,6,4,0,0,0,3,1,0,65,6.2,659,12:26,17,83,2,14,12.5
526,Jordan Nolan\nolanjo01,27,C,LAK,44,4,4,8,-2,44,4,0,0,0,4,0,0,38,10.5,480,10:54,7,60,2,4,33.3
527,Darnell Nurse\nurseda01,21,D,EDM,37,4,4,8,1,26,4,0,0,0,4,0,0,66,6.1,645,17:25,44,90,0,0,
528,Roman Polak\polakro01,30,D,TOR,67,4,4,8,9,61,4,0,0,1,4,0,0,51,7.8,1192,17:47,112,216,0,1,0.0
529,Dennis Rasmussen\rasmude01,26,C,CHI,62,4,4,8,-3,10,4,0,0,0,4,0,0,69,5.8,734,11:51,44,50,148,175,45.8
530,Jack Skille\skillja01,29,RW,VAN,54,4,4,8,-1,12,4,0,0,0,4,0,0,70,5.7,474,8:46,21,72,2,0,100.0
531,Matt Beleskey\belesma01,28,LW,BOS,43,3,5,8,-12,43,3,0,0,0,3,2,0,73,4.1,585,13:36,17,93,28,41,40.6
532,Joshua Ho-Sang\hosanjo01,21,RW,NYI,12,3,5,8,-3,4,2,1,0,0,4,1,0,15,20.0,193,16:07,2,3,0,2,0.0
533,Michal Kempny\kempnmi01,26,D,CHI,48,2,6,8,1,22,2,0,0,0,6,0,0,65,3.1,713,14:52,56,76,0,0,
534,Chad Ruhwedel\ruhwech01,26,D,PIT,29,2,6,8,7,8,2,0,0,0,5,1,0,40,5.0,503,17:21,25,30,0,0,
535,Michael Sgarbossa\sgarbmi01,24,C,TOT,34,2,6,8,-6,4,1,1,0,0,5,1,0,32,6.3,389,11:26,16,38,137,173,44.2
536,Zach Bogosian\bogosza01,26,D,BUF,48,1,7,8,-19,44,1,0,0,1,6,1,0,59,1.7,962,20:02,88,56,0,1,0.0
537,Jacob Josefson\josefja01,25,C,NJD,35,1,7,8,0,16,1,0,0,1,6,1,0,41,2.4,430,12:17,12,27,151,132,53.4
538,Alexey Marchenko\marchal01,25,D,TOT,40,1,7,8,8,12,1,0,0,0,6,0,1,36,2.8,684,17:06,59,22,0,0,
539,Jesse Puljujarvi\puljuje01,18,RW,EDM,28,1,7,8,5,10,0,1,0,0,7,0,0,41,2.4,315,11:15,10,11,0,1,0.0
540,Chris Tanev\tanevch01,27,D,VAN,44,1,7,8,4,10,1,0,0,1,7,0,0,34,2.9,899,20:26,84,14,0,0,
541,Shea Theodore\theodsh01,21,D,ANA,30,1,7,8,-11,26,0,1,0,0,5,1,1,50,2.0,508,16:57,24,13,0,0,
542,Nikita Tryamkin\tryamni01,22,D,VAN,57,1,7,8,-5,56,1,0,0,0,7,0,0,53,1.9,944,16:34,76,125,0,0,
543,Yannick Weber\weberya01,28,D,NSH,72,1,7,8,1,25,1,0,0,1,7,0,0,70,1.4,859,11:56,52,71,0,0,
544,Jake Dotchin\dotchja01,22,D,TBL,27,0,8,8,9,31,0,0,0,0,8,0,0,40,0.0,496,18:23,15,64,0,0,
545,Jamie Oleksiak\oleksja01,24,D,DAL,37,5,2,7,-4,37,5,0,0,1,1,0,1,31,16.1,596,16:07,44,48,0,0,
546,Reid Boucher\bouchre01,23,C/LW,TOT,30,4,3,7,-2,4,4,0,0,0,3,0,0,51,7.8,339,11:17,11,15,0,1,0.0
547,Matt Hendricks\hendrma01,35,LW,EDM,40,4,3,7,-3,27,4,0,0,1,3,0,0,40,10.0,435,10:52,37,78,125,94,57.1
548,Nick Lappin\lappini01,24,RW,NJD,43,4,3,7,-17,17,4,0,0,0,3,0,0,57,7.0,504,11:43,10,35,2,5,28.6
549,Tyler Motte\mottety01,21,LW,CHI,33,4,3,7,2,14,4,0,0,0,3,0,0,46,8.7,376,11:23,24,27,4,6,40.0
550,Ivan Barbashev\barbaiv01,21,C,STL,21,3,4,7,4,2,3,0,0,1,4,0,0,11,27.3,226,10:46,10,27,57,74,43.5
551,Pierre-Edouard Bellemare\bellepi01,31,LW,PHI,73,3,4,7,0,18,3,0,0,0,3,0,1,79,3.8,959,13:08,66,68,379,401,48.6
552,Lance Bouma\boumala01,26,C,CGY,54,3,4,7,0,28,3,0,0,1,4,0,0,45,6.7,611,11:19,41,114,4,8,33.3
553,Andreas Martinsen\martian01,26,LW,TOT,59,3,4,7,-11,32,3,0,0,0,3,0,1,66,4.5,577,9:47,26,157,3,0,100.0
554,John Mitchell\mitchjo01,32,C,COL,64,3,4,7,-11,45,3,0,0,1,4,0,0,57,5.3,809,12:38,45,88,297,240,55.3
555,Steve Ott\ottst01,34,C,TOT,49,3,4,7,-6,68,3,0,0,0,4,0,0,40,7.5,522,10:39,22,131,134,109,55.1
556,Nail Yakupov\yakupna01,23,RW,STL,36,3,4,7,-5,10,3,0,0,0,4,0,0,28,10.7,382,10:36,6,30,0,0,
557,Connor Carrick\carrico01,22,D,TOR,58,2,5,7,8,49,1,1,0,0,5,0,0,81,2.5,957,16:30,74,59,0,0,
558,Christian Folin\folinch01,25,D,MIN,44,2,5,7,8,24,2,0,0,0,5,0,0,34,5.9,653,14:50,54,62,0,0,
559,Markus Nutivaara\nutivma01,22,D,CBJ,60,2,5,7,9,6,2,0,0,0,5,0,0,60,3.3,779,12:59,36,30,0,0,
560,Adam Pelech\pelecad01,22,D,NYI,35,2,5,7,-4,2,2,0,0,0,5,0,0,29,6.9,585,16:43,49,44,0,0,
561,Steven Santini\santist01,21,D,NJD,33,2,5,7,-4,10,2,0,0,0,5,0,0,34,5.9,530,16:04,34,69,0,0,
562,Logan Shaw\shawlo01,25,RW,ANA,49,2,5,7,0,10,1,0,1,0,4,0,1,54,3.7,475,9:42,16,55,46,83,35.7
563,Brendan Smith\smithbr05,27,D,TOT,44,2,5,7,3,44,1,1,0,1,3,2,0,57,3.5,854,19:24,59,52,0,0,
564,Dylan DeMelo\demeldy01,23,D,SJS,23,1,6,7,2,14,1,0,0,0,6,0,0,30,3.3,358,15:33,28,31,0,0,
565,Phillip Di Giuseppe\digiuph01,23,LW,CAR,30,1,6,7,-11,15,1,0,0,1,5,1,0,61,1.6,381,12:42,10,80,0,2,0.0
566,Ben Lovejoy\lovejbe01,32,D,NJD,73,1,6,7,-8,30,1,0,0,1,6,0,0,78,1.3,1526,20:54,134,74,0,0,
567,Olli Maatta\maattol01,22,D,PIT,54,1,6,7,17,12,1,0,0,0,6,0,0,63,1.6,973,18:01,101,71,0,0,
568,Martin Marincin\marinma01,24,D,TOR,25,1,6,7,3,16,1,0,0,0,5,0,1,22,4.5,451,18:03,27,25,0,0,
569,Scott Mayfield\mayfisc01,24,D,NYI,20,1,6,7,0,33,1,0,0,0,6,0,0,30,3.3,281,14:02,31,34,0,0,
570,Jared McCann\mccanja01,20,C,FLA,29,1,6,7,-1,4,1,0,0,0,5,1,0,44,2.3,337,11:38,6,28,41,64,39.0
571,Greg Pateryn\patergr01,26,D,TOT,30,1,6,7,-1,4,1,0,0,0,6,0,0,32,3.1,443,14:46,55,54,0,0,
572,Ryan Sproul\sproury01,24,D,DET,27,1,6,7,-8,6,0,1,0,0,4,2,0,46,2.2,409,15:09,14,12,0,0,
573,Justin Falk\falkju01,28,D,BUF,46,0,7,7,-2,27,0,0,0,0,7,0,0,26,0.0,625,13:35,36,89,1,0,100.0
574,Taylor Fedun\fedunta01,28,D,BUF,27,0,7,7,3,16,0,0,0,0,4,3,0,24,0.0,361,13:22,20,7,0,0,
575,Luke Schenn\schenlu01,27,D,ARI,70,0,7,7,-10,75,0,0,0,0,7,0,0,86,0.0,1254,17:54,118,252,0,0,
576,Drew Miller\milledr01,32,LW,DET,48,5,1,6,-10,16,5,0,0,1,1,0,0,38,13.2,492,10:15,41,60,2,1,66.7
577,William Carrier\carriwi01,22,LW,BUF,35,4,2,6,2,17,4,0,0,1,2,0,0,40,10.0,314,8:58,8,96,1,1,50.0
578,Ales Hemsky\hemskal01,33,RW,DAL,12,3,3,6,0,0,3,0,0,0,2,1,0,22,13.6,176,14:39,4,0,0,0,
579,Greg McKegg\mckeggr01,24,C,TOT,39,3,3,6,-6,18,3,0,0,0,3,0,0,33,9.1,384,9:51,16,42,68,68,50.0
580,Zachary Sanford\sanfoza01,22,LW/C,TOT,31,3,3,6,0,8,3,0,0,2,3,0,0,28,10.7,320,10:20,16,18,10,9,52.6
581,Jakub Vrana\vranaja01,20,LW,WSH,21,3,3,6,2,2,0,3,0,2,2,1,0,32,9.4,233,11:07,7,6,0,3,0.0
582,Adrian Kempe\kempead01,20,LW,LAK,17,2,4,6,-2,6,2,0,0,1,1,2,1,26,7.7,210,12:20,3,18,46,51,47.4
583,Kevin Gravel\graveke01,24,D,LAK,46,1,5,6,2,6,0,1,0,0,4,1,0,52,1.9,641,13:57,57,68,0,0,
584,Erik Gudbranson\gudbrer01,25,D,VAN,30,1,5,6,-14,18,1,0,0,1,5,0,0,40,2.5,610,20:20,44,66,0,0,
585,Korbinian Holzer\holzeko01,28,D,ANA,29,1,5,6,-3,14,1,0,0,0,5,0,0,12,8.3,391,13:30,27,63,0,0,
586,Jyrki Jokipakka\jokipjy01,25,D,CGY,38,1,5,6,-3,12,1,0,0,0,5,0,0,29,3.4,548,14:26,30,25,0,0,
587,Philip Larsen\larseph01,27,D,VAN,24,1,5,6,-7,4,1,0,0,0,3,2,0,30,3.3,406,16:55,21,11,0,0,
588,Jonathon Merrill\merrijo01,24,D,NJD,45,1,5,6,-5,24,1,0,0,0,5,0,0,43,2.3,847,18:49,58,36,0,0,
589,Carl Gunnarsson\gunnaca01,30,D,STL,51,0,6,6,-6,4,0,0,0,0,6,0,0,27,0.0,695,13:38,61,37,0,0,
590,Roman Lyubimov\lyubiro01,25,LW,PHI,46,4,1,5,-2,8,4,0,0,1,1,0,0,40,10.0,439,9:33,16,27,1,6,14.3
591,Cody McLeod\mcleoco01,32,LW,TOT,51,4,1,5,-2,111,4,0,0,0,1,0,0,25,16.0,348,6:49,8,128,0,0,
592,Chris Wagner\wagnech01,25,C,ANA,35,4,1,5,-1,6,4,0,0,0,1,0,0,35,11.4,325,9:17,17,88,50,72,41.0
593,Jordan Weal\wealjo01,24,C,PHI,15,4,1,5,3,6,4,0,0,0,1,0,0,30,13.3,213,14:10,6,4,7,7,50.0
594,Timo Meier\meierti01,20,RW,SJS,28,3,2,5,-1,6,3,0,0,1,2,0,0,67,4.5,359,12:49,5,59,1,4,20.0
595,Evan Rodrigues\rodriev01,23,LW,BUF,22,3,2,5,-1,2,3,0,0,0,2,0,0,40,7.5,281,12:47,7,10,69,94,42.3
596,J.T. Brown\brownjt01,26,RW,TBL,59,2,3,5,-8,66,1,0,1,1,3,0,0,62,3.2,614,10:24,23,98,12,26,31.6
597,Joel Eriksson Ek\eriksjo02,20,LW,MIN,9,2,3,5,2,2,2,0,0,1,3,0,0,7,28.6,91,10:07,5,14,21,35,37.5
598,Gustav Forsling\forslgu02,20,D,CHI,36,2,3,5,4,4,2,0,0,0,2,1,0,44,4.5,529,14:42,16,16,0,0,
599,Jimmy Hayes\hayesji01,27,RW,BOS,54,2,3,5,-2,29,2,0,0,1,3,0,0,69,2.9,515,9:32,10,71,14,40,25.9
600,Tyler Myers\myersty01,26,D,WPG,11,2,3,5,5,13,2,0,0,0,2,0,1,16,12.5,244,22:12,21,12,0,0,
601,Taylor Chorney\chornta01,29,D,WSH,17,1,4,5,8,11,1,0,0,1,4,0,0,17,5.9,239,14:03,27,27,0,0,
602,Remi Elie\eliere01,21,LW,DAL,10,1,4,5,2,6,1,0,0,0,4,0,0,10,10.0,158,15:46,8,22,1,0,100.0
603,Tom Gilbert\gilbeto01,34,D,LAK,18,1,4,5,-4,6,1,0,0,0,3,1,0,12,8.3,278,15:27,28,10,0,0,
604,Stephen Gionta\giontst01,33,RW,NYI,17,1,4,5,6,0,1,0,0,0,4,0,0,12,8.3,182,10:43,3,38,20,18,52.6
605,Josh Gorges\gorgejo01,32,D,BUF,58,1,4,5,-3,45,1,0,0,0,4,0,0,34,2.9,1071,18:28,100,131,0,1,0.0
606,Eric Gryba\grybaer01,28,D,EDM,37,1,4,5,-6,55,1,0,0,1,4,0,0,39,2.6,603,16:18,44,136,0,0,
607,Garnet Hathaway\hathaga01,25,RW,CGY,26,1,4,5,0,44,1,0,0,0,4,0,0,22,4.5,238,9:08,14,56,10,9,52.6
608,Brad Hunt\huntbr01,28,D,STL,9,1,4,5,-2,2,0,1,0,0,3,1,0,12,8.3,122,13:36,1,0,0,0,
609,Michael McCarron\mccarmi01,21,RW,MTL,27,1,4,5,-1,37,1,0,0,0,4,0,0,30,3.3,261,9:40,9,67,66,90,42.3
610,Andrej Nestrasil\nestran01,25,C,CAR,19,1,4,5,-3,2,1,0,0,0,4,0,0,27,3.7,207,10:54,6,10,3,7,30.0
611,Brendan Gaunce\gauncbr01,22,LW,VAN,57,0,5,5,-2,33,0,0,0,0,5,0,0,51,0.0,541,9:29,12,94,84,80,51.2
612,Cody Goloubef\golouco01,27,D,COL,31,0,5,5,-11,25,0,0,0,0,5,0,0,29,0.0,535,17:16,33,28,0,0,
613,Seth Griffith\griffse01,24,C,TOT,24,0,5,5,6,8,0,0,0,0,4,1,0,21,0.0,306,12:44,5,30,2,6,25.0
614,Paul Ladue\laduepa01,24,D,LAK,16,0,5,5,-3,4,0,0,0,0,3,2,0,21,0.0,263,16:25,10,10,0,0,
615,John-Michael Liles\lilesjo01,36,D,BOS,31,0,5,5,0,4,0,0,0,0,2,3,0,26,0.0,505,16:17,37,21,2,0,100.0
616,Zach Redmond\redmoza01,28,D,MTL,16,0,5,5,6,2,0,0,0,0,5,0,0,12,0.0,197,12:19,13,25,0,0,
617,Matt Tennyson\tennyma01,26,D,CAR,37,0,5,5,-9,2,0,0,0,0,5,0,0,30,0.0,497,13:26,34,46,0,0,
618,Nicholas Baptiste\baptini01,21,RW,BUF,14,3,1,4,1,6,3,0,0,0,1,0,0,16,18.8,129,9:14,1,12,1,2,33.3
619,Chris Thorburn\thorbch01,33,RW,WPG,57,3,1,4,-7,93,2,0,1,0,1,0,0,33,9.1,398,6:59,24,82,11,13,45.8
620,Yohann Auvitu\auvityo01,27,D,NJD,25,2,2,4,1,2,2,0,0,0,1,1,0,54,3.7,390,15:36,9,20,0,0,
621,Justin Bailey\baileju01,21,RW,BUF,32,2,2,4,0,4,2,0,0,1,2,0,0,36,5.6,340,10:38,14,27,0,1,0.0
622,Ryan Callahan\callary01,31,RW,TBL,18,2,2,4,-4,23,2,0,0,1,2,0,0,22,9.1,255,14:09,13,48,5,4,55.6
623,Ryan Carpenter\carpery01,26,C,SJS,11,2,2,4,5,4,2,0,0,0,2,0,0,20,10.0,114,10:23,2,15,34,41,45.3
