,,,,,,Scoring,,,,,Goals,,,,Assists,,,,,Ice Time,,,,,,
Rk,Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
124,Jason Pominville\pominja01,34,RW,MIN,69,11,31,42,-1,4,11,0,0,2,24,7,0,154,7.1,974,14:07,36,40,36,39,48.0
125,Mike Fisher\fishemi01,36,C,NSH,68,17,24,41,-1,53,10,7,0,3,14,10,0,110,15.5,1139,16:45,63,148,667,558,54.4
126,Alex Galchenyuk\galchal01,22,C,MTL,53,16,25,41,-1,22,10,6,0,5,17,8,0,94,17.0,860,16:14,30,34,270,366,42.5
127,Shea Weber\webersh01,31,D,MTL,74,16,25,41,16,36,5,11,0,4,13,10,2,171,9.4,1865,25:12,154,136,0,0,
128,Jaromir Jagr\jagrja01,44,RW,FLA,73,14,27,41,10,50,8,6,0,2,23,4,0,155,9.0,1246,17:04,4,21,0,1,0.0
129,Travis Zajac\zajactr01,31,C,NJD,71,13,28,41,-7,27,6,6,1,1,22,5,1,118,11.0,1413,19:54,25,73,765,650,54.1
130,Elias Lindholm\lindhel01,22,C,CAR,62,10,31,41,-4,14,8,1,1,0,19,8,4,136,7.4,1126,18:10,39,81,287,247,53.7
131,Drew Doughty\doughdr01,27,D,LAK,73,9,32,41,3,42,5,4,0,0,17,14,1,160,5.6,1988,27:14,100,125,1,0,100.0
132,Richard Panik\panikri01,25,LW,CHI,74,20,20,40,14,41,16,4,0,4,16,4,0,141,14.2,1089,14:43,41,141,2,5,28.6
133,Justin Williams\williju01,35,RW,WSH,72,20,20,40,11,44,16,4,0,3,15,5,0,149,13.4,1117,15:31,38,24,62,48,56.4
134,Paul Stastny\stastpa01,31,C,STL,66,18,22,40,4,36,13,5,0,5,14,8,0,112,16.1,1263,19:08,35,51,786,624,55.7
135,David Perron\perroda01,28,LW,STL,73,15,25,40,-3,52,12,2,1,3,16,9,0,133,11.3,1269,17:23,23,80,30,31,49.2
136,Daniel Sedin\sedinda01,36,LW,VAN,73,14,26,40,-13,32,8,6,0,3,19,7,0,191,7.3,1348,18:28,17,19,3,3,50.0
137,Brandon Dubinsky\dubinbr01,30,C,CBJ,71,11,29,40,22,85,10,1,0,5,26,3,0,110,10.0,1267,17:51,53,219,689,643,51.7
138,Seth Jones\jonesse01,22,D,CBJ,67,11,29,40,14,20,11,0,0,3,23,6,0,130,8.5,1568,23:24,109,55,0,0,
139,Nick Leddy\leddyni01,25,D,NYI,72,11,29,40,-4,10,8,3,0,1,19,10,0,121,9.1,1643,22:49,91,72,0,0,
140,Alex Pietrangelo\pietral01,27,D,STL,72,11,29,40,2,22,6,5,0,3,18,11,0,155,7.1,1812,25:10,146,37,0,1,0.0
141,Michael Grabner\grabnmi01,29,RW,NYR,68,27,12,39,26,10,26,0,1,3,10,0,2,147,18.4,954,14:02,30,38,7,6,53.8
142,Evander Kane\kaneev01,25,LW,BUF,62,25,14,39,-16,97,22,3,0,5,9,5,0,221,11.3,1188,19:09,25,98,53,65,44.9
143,Patrick Maroon\maroopa01,28,LW,EDM,74,25,14,39,13,91,22,3,0,4,11,3,0,166,15.1,1229,16:37,23,174,6,9,40.0
144,Tomas Tatar\tatarto01,26,LW,DET,73,21,18,39,-8,26,19,2,0,4,16,2,0,147,14.3,1246,17:04,22,79,8,4,66.7
145,Bryan Little\littlbr01,29,C,WPG,52,20,19,39,-4,16,14,6,0,2,15,4,0,109,18.3,925,17:48,20,30,543,436,55.5
146,Patric Hornqvist\hornqpa01,30,RW,PIT,63,18,21,39,18,26,9,9,0,4,16,5,0,211,8.5,1005,15:57,54,211,3,6,33.3
147,Brock Nelson\nelsobr01,25,LW,NYI,72,17,22,39,-6,32,16,1,0,2,16,5,1,153,11.1,1127,15:39,44,47,298,390,43.3
148,Ryan McDonagh\mcdonry01,27,D,NYR,73,5,34,39,19,37,3,1,1,1,22,12,0,140,3.6,1782,24:24,154,75,0,0,
