Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
44,Davis Bertans\bertada01,PF,24,SAS,59,4,11.4,1.4,3.2,.439,0.9,2.3,.394,0.5,0.9,.558,.582,0.5,0.6,.818,0.3,1.1,1.4,0.7,0.3,0.4,0.5,1.1,4.2
45,Patrick Beverley\beverpa01,SG,28,HOU,58,58,30.6,3.4,8.1,.418,1.7,4.3,.393,1.7,3.7,.447,.524,1.0,1.3,.811,1.4,4.4,5.8,4.2,1.6,0.4,1.5,3.3,9.5
46,Bismack Biyombo\biyombi01,C,24,ORL,72,27,23.0,2.3,4.3,.521,0.0,0.0,,2.3,4.3,.521,.521,1.5,2.9,.507,2.0,5.2,7.2,0.9,0.3,1.2,1.2,2.5,6.0
47,Nemanja Bjelica\bjeline01,PF,28,MIN,65,1,18.3,2.3,5.5,.424,0.9,2.7,.316,1.5,2.8,.531,.503,0.7,0.9,.738,0.9,2.9,3.8,1.2,0.6,0.3,0.9,2.4,6.2
48,Tarik Black\blackta01,C,25,LAL,58,16,15.7,2.1,4.3,.492,0.0,0.0,.500,2.1,4.3,.492,.494,1.3,1.7,.730,2.3,2.8,5.1,0.6,0.4,0.5,0.9,2.6,5.5
49,Eric Bledsoe\bledser01,PG,27,PHO,66,66,33.0,6.8,15.7,.434,1.6,4.7,.335,5.2,11.0,.477,.485,5.9,6.9,.847,0.8,4.1,4.8,6.3,1.4,0.5,3.4,2.5,21.1
50,Bojan Bogdanovic\bogdabo02,SF,27,TOT,72,54,26.3,4.8,10.8,.447,1.8,5.0,.368,3.0,5.8,.516,.533,2.8,3.2,.891,0.5,3.0,3.5,1.4,0.4,0.1,1.7,1.8,14.4
50,Bojan Bogdanovic\bogdabo02,SF,27,BRK,55,54,26.9,4.9,11.1,.440,1.8,5.0,.357,3.1,6.1,.509,.521,2.7,3.0,.874,0.4,3.2,3.6,1.6,0.4,0.1,1.7,1.8,14.2
50,Bojan Bogdanovic\bogdabo02,SF,27,WAS,17,0,24.4,4.6,9.8,.473,2.0,4.9,.405,2.6,4.9,.542,.575,3.5,3.7,.937,0.7,2.5,3.2,0.8,0.4,0.2,1.6,1.9,14.8
51,Andrew Bogut\bogutan01,C,32,TOT,27,21,21.6,1.4,3.0,.469,0.0,0.0,.000,1.4,3.0,.475,.469,0.1,0.4,.273,2.1,6.0,8.1,1.8,0.5,0.9,1.6,3.2,2.9
51,Andrew Bogut\bogutan01,C,32,DAL,26,21,22.4,1.5,3.1,.469,0.0,0.0,.000,1.5,3.1,.475,.469,0.1,0.4,.273,2.2,6.2,8.4,1.9,0.5,1.0,1.7,3.2,3.0
51,Andrew Bogut\bogutan01,C,32,CLE,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
52,Joel Bolomboy\bolomjo01,PF,23,UTA,10,0,3.5,0.7,1.2,.583,0.0,0.2,.000,0.7,1.0,.700,.583,0.2,0.4,.500,0.1,1.0,1.1,0.2,0.1,0.1,0.2,0.1,1.6
53,Devin Booker\bookede01,SG,20,PHO,71,71,34.8,7.6,18.0,.424,1.9,5.1,.364,5.8,12.9,.447,.475,4.5,5.4,.835,0.6,2.6,3.2,3.2,0.9,0.3,3.0,3.1,21.6
54,Trevor Booker\booketr01,PF,29,BRK,64,43,25.1,4.3,8.3,.515,0.3,1.1,.314,4.0,7.3,.545,.536,1.1,1.6,.657,2.1,6.2,8.3,2.0,1.1,0.4,1.8,2.1,10.0
55,Avery Bradley\bradlav01,SG,26,BOS,48,48,33.4,6.8,14.4,.472,2.1,5.0,.415,4.7,9.4,.503,.545,1.3,1.7,.741,1.1,5.1,6.2,2.3,1.3,0.2,1.7,2.5,16.9
56,Corey Brewer\breweco01,SF,30,TOT,72,8,15.4,1.7,4.1,.420,0.3,1.5,.229,1.4,2.6,.532,.463,0.5,0.7,.712,0.4,1.6,2.0,1.1,0.6,0.2,0.6,1.7,4.3
56,Corey Brewer\breweco01,SF,30,HOU,58,8,15.9,1.6,3.9,.414,0.4,1.6,.234,1.2,2.3,.541,.463,0.6,0.8,.727,0.4,1.6,2.0,1.1,0.6,0.2,0.6,1.8,4.2
56,Corey Brewer\breweco01,SF,30,LAL,14,0,13.1,2.1,4.9,.441,0.2,1.1,.200,1.9,3.8,.509,.463,0.4,0.6,.625,0.6,1.7,2.3,1.1,0.6,0.4,0.7,1.1,4.9
57,Malcolm Brogdon\brogdma01,SG,24,MIL,70,23,26.4,3.8,8.4,.451,1.1,2.6,.402,2.7,5.8,.473,.514,1.5,1.7,.858,0.6,2.2,2.8,4.1,1.1,0.1,1.5,1.9,10.1
58,Aaron Brooks\brookaa01,PG,32,IND,55,0,13.2,1.8,4.5,.402,0.7,2.0,.342,1.1,2.5,.449,.478,0.4,0.6,.750,0.3,0.8,1.0,2.0,0.4,0.1,1.0,1.3,4.8
59,Anthony Brown\brownan02,SF,24,TOT,11,0,14.5,1.6,4.5,.360,0.6,2.5,.259,1.0,2.1,.478,.430,0.0,0.0,,0.7,2.3,3.0,0.7,0.5,0.1,0.5,1.4,3.9
59,Anthony Brown\brownan02,SF,24,NOP,9,0,15.9,1.6,4.6,.341,0.7,2.7,.250,0.9,1.9,.471,.415,0.0,0.0,,0.7,2.2,2.9,0.7,0.6,0.1,0.6,1.4,3.8
59,Anthony Brown\brownan02,SF,24,ORL,2,0,8.0,2.0,4.5,.444,0.5,1.5,.333,1.5,3.0,.500,.500,0.0,0.0,,1.0,2.5,3.5,1.0,0.0,0.0,0.5,1.0,4.5
60,Bobby Brown\brownbo02,PG,32,HOU,22,0,3.0,0.5,1.6,.333,0.3,0.9,.350,0.2,0.7,.313,.431,0.0,0.0,,0.0,0.2,0.2,0.1,0.0,0.0,0.1,0.1,1.4
61,Jaylen Brown\brownja02,SF,20,BOS,69,18,16.9,2.4,5.3,.451,0.5,1.6,.330,1.9,3.7,.504,.501,1.1,1.7,.670,0.6,2.3,2.9,0.8,0.4,0.2,0.9,1.8,6.4
62,Nicolas Brussino\brussni01,SF,23,DAL,46,0,7.3,0.7,1.8,.361,0.3,1.2,.286,0.3,0.6,.519,.458,0.2,0.2,.700,0.4,1.0,1.4,0.6,0.3,0.2,0.3,0.7,1.8
63,Reggie Bullock\bullore01,SF,25,DET,26,3,13.4,1.3,3.6,.362,0.5,1.9,.260,0.8,1.7,.477,.431,0.2,0.3,.714,0.3,1.5,1.9,0.7,0.5,0.1,0.3,0.7,3.3
64,Trey Burke\burketr01,PG,24,WAS,55,0,12.1,1.9,4.4,.440,0.5,1.1,.413,1.5,3.2,.449,.494,0.4,0.5,.741,0.1,0.7,0.8,1.7,0.2,0.1,0.8,1.0,4.7
65,Alec Burks\burksal01,SG,25,UTA,37,0,15.9,2.5,6.2,.406,0.6,2.0,.315,1.9,4.2,.449,.456,1.5,2.0,.781,0.4,2.3,2.7,0.7,0.5,0.1,0.8,1.3,7.2
66,Jimmy Butler\butleji01,SF,27,CHI,67,66,36.9,7.3,16.3,.446,1.1,3.4,.339,6.1,12.9,.474,.481,7.9,9.1,.867,1.7,4.5,6.2,5.4,1.9,0.4,2.0,1.5,23.6
67,Bruno Caboclo\cabocbr01,SF,21,TOR,8,0,2.9,0.1,0.6,.200,0.1,0.4,.333,0.0,0.3,.000,.300,0.0,0.0,,0.4,0.4,0.8,0.4,0.3,0.0,0.3,0.4,0.4
68,Jose Calderon\caldejo01,PG,35,TOT,31,11,12.0,1.2,3.0,.413,0.5,1.4,.318,0.8,1.5,.500,.489,0.3,0.3,.889,0.3,1.3,1.6,2.0,0.3,0.0,1.0,1.0,3.2
68,Jose Calderon\caldejo01,PG,35,LAL,24,11,12.2,1.3,3.2,.416,0.5,1.4,.353,0.8,1.8,.465,.494,0.2,0.2,1.000,0.3,1.4,1.7,2.1,0.3,0.0,1.1,0.9,3.3
68,Jose Calderon\caldejo01,PG,35,ATL,7,0,11.6,0.9,2.1,.400,0.3,1.4,.200,0.6,0.7,.800,.467,0.6,0.7,.800,0.1,1.1,1.3,1.7,0.3,0.0,0.6,1.3,2.6
69,Kentavious Caldwell-Pope\caldwke01,SG,23,DET,68,68,33.6,4.9,12.1,.407,2.1,5.6,.368,2.9,6.5,.441,.493,2.0,2.5,.832,0.7,2.5,3.2,2.7,1.2,0.2,1.1,1.6,14.0
70,Isaiah Canaan\canaais01,SG,25,CHI,36,0,16.2,1.7,4.7,.369,0.7,2.5,.264,1.1,2.1,.494,.440,0.8,0.9,.903,0.2,1.1,1.3,1.0,0.6,0.0,0.5,1.0,4.9
71,Clint Capela\capelca01,C,22,HOU,57,51,23.6,5.5,8.5,.639,0.0,0.0,,5.5,8.5,.639,.639,1.5,2.8,.535,2.6,5.3,7.9,0.9,0.5,1.2,1.3,2.8,12.4
72,DeMarre Carroll\carrode01,SF,30,TOR,64,64,26.7,3.2,7.8,.408,1.5,4.4,.342,1.7,3.3,.495,.505,1.3,1.8,.759,0.9,3.0,4.0,1.0,1.2,0.4,0.7,2.0,9.2
73,Vince Carter\cartevi01,SG,40,MEM,64,6,24.2,2.6,6.8,.387,1.5,4.0,.364,1.2,2.8,.420,.495,1.2,1.6,.735,0.5,2.5,3.0,1.8,0.9,0.5,0.6,2.3,7.9
74,Michael Carter-Williams\cartemi01,PG,25,CHI,36,19,20.3,2.8,7.2,.388,0.4,1.5,.236,2.4,5.7,.429,.413,1.6,2.1,.747,0.6,3.2,3.8,2.5,0.8,0.6,1.7,2.4,7.5
75,Omri Casspi\casspom01,SF,28,TOT,26,2,18.2,2.3,5.1,.459,0.5,1.4,.389,1.8,3.7,.485,.511,0.5,0.9,.609,0.8,2.8,3.7,1.1,0.4,0.1,0.9,1.0,5.8
75,Omri Casspi\casspom01,SF,28,SAC,22,2,18.0,2.4,5.3,.453,0.5,1.3,.379,1.9,4.0,.477,.500,0.5,1.0,.571,0.9,3.2,4.1,1.2,0.5,0.0,0.8,1.0,5.9
75,Omri Casspi\casspom01,SF,28,NOP,1,0,24.0,5.0,9.0,.556,2.0,4.0,.500,3.0,5.0,.600,.667,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,2.0,3.0,12.0
75,Omri Casspi\casspom01,SF,28,MIN,3,0,17.7,1.0,2.3,.429,0.3,1.0,.333,0.7,1.3,.500,.500,0.7,0.7,1.000,0.3,0.7,1.0,0.7,0.0,0.3,1.7,0.3,3.0
76,Willie Cauley-Stein\caulewi01,C,23,SAC,65,11,17.3,3.1,5.8,.534,0.0,0.0,.000,3.1,5.8,.537,.534,1.2,1.9,.650,1.0,2.6,3.6,1.0,0.6,0.6,0.9,1.9,7.4
77,Tyson Chandler\chandty01,C,34,PHO,47,46,27.6,3.3,4.9,.671,0.0,0.0,,3.3,4.9,.671,.671,1.9,2.6,.734,3.3,8.2,11.5,0.6,0.7,0.5,1.4,2.7,8.4
78,Wilson Chandler\chandwi01,SF,29,DEN,62,29,31.3,6.3,13.6,.461,1.6,4.6,.337,4.7,9.0,.525,.518,2.1,2.8,.736,1.5,5.0,6.5,2.1,0.8,0.4,1.7,2.4,16.2
79,Marquese Chriss\chrisma01,PF,19,PHO,73,66,20.6,3.3,7.4,.445,0.9,2.6,.332,2.4,4.8,.507,.504,1.3,2.1,.627,1.1,2.9,4.0,0.6,0.8,0.8,1.2,3.3,8.8
80,Rakeem Christmas\chrisra01,PF,25,IND,21,0,8.5,0.8,1.8,.459,0.0,0.0,,0.8,1.8,.459,.459,0.8,1.0,.810,1.1,1.3,2.4,0.1,0.1,0.2,0.3,1.4,2.4
81,Semaj Christon\chrisse01,PG,24,OKC,53,0,14.4,1.2,3.5,.353,0.2,0.9,.180,1.1,2.5,.418,.378,0.2,0.5,.481,0.3,1.0,1.3,2.1,0.4,0.1,0.7,1.2,2.9
82,Ian Clark\clarkia01,SG,25,GSW,67,0,14.3,2.8,5.5,.500,0.8,2.1,.399,1.9,3.5,.560,.574,0.6,0.8,.745,0.3,1.2,1.5,1.1,0.5,0.1,0.7,1.0,7.0
83,Jordan Clarkson\clarkjo01,SG,24,LAL,72,9,28.7,5.8,12.9,.450,1.4,4.2,.330,4.4,8.7,.507,.503,1.7,2.2,.806,0.6,2.3,2.9,2.4,1.2,0.1,2.0,1.9,14.8
84,Norris Cole\coleno01,PG,28,OKC,7,0,9.0,1.3,3.9,.333,0.1,0.7,.200,1.1,3.1,.364,.352,0.3,0.3,1.000,0.0,0.7,0.7,1.4,0.3,0.0,1.0,0.9,3.0
