Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
25,Vontaze Burfict\BurfVo00,CIN,26,LB,11,11,2,54,0,47,8,1,0,0,0,0,2.0,73,28,
26,Thomas Davis*\DaviTh20,CAR,33,LB,16,16,3,35,0,31,4,1,0,2,46,1,2.5,73,33,
27,Logan Ryan\RyanLo00,NWE,25,cb/RCB,16,13,2,46,0,46,11,1,0,0,0,0,1.0,73,19,
28,Avery Williamson\WillAv00,TEN,24,LB,16,16,1,0,0,0,1,1,0,0,0,0,2.0,73,31,
29,Keanu Neal\NealKe01,ATL,21,S,14,14,0,0,0,0,9,5,0,1,0,0,,72,33,
30,Tavon Wilson\WilsTa00,DET,26,fs/s/SS,15,14,2,23,0,18,2,0,0,2,-2,0,1.0,72,15,
31,Luke Kuechly*\KuecLu00,CAR,25,MLB,10,10,1,16,0,16,6,1,0,0,0,0,2.0,71,31,
32,Derrick Johnson\JohnDe25,KAN,34,LILB/rilb,13,13,1,55,1,55,3,,,,,,1.0,70,20,
33,Eric Kendricks\KendEr00,MIN,24,MLB,15,14,1,77,1,77,9,1,0,1,0,0,2.5,70,39,
34,Craig Robertson\RobeCr00,NOR,28,LB/mlb,15,15,1,29,0,29,4,0,0,2,5,0,1.0,70,44,
35,K.J. Wright*\WrigK.00,SEA,27,LB,16,16,0,0,0,0,5,1,0,1,0,0,4.0,70,54,
36,Kiko Alonso\AlonKi00,MIA,26,LB,15,15,2,70,1,60,4,1,0,4,2,0,,69,45,
37,Karlos Dansby\DansKa20,CIN,35,lb,16,7,0,0,0,0,6,0,0,1,0,0,1.0,69,45,
38,Harrison Smith*\SmitHa00,MIN,27,FS,14,14,0,0,0,0,2,0,0,2,0,0,2.0,69,22,
39,T.J. Ward\WardT.99,DEN,30,SS,14,14,1,23,0,23,8,3,0,2,0,0,1.0,69,18,
40,Morgan Burnett\BurnMo99,GNB,27,lb/SS,15,15,2,19,0,19,9,0,0,1,35,0,3.0,68,23,
41,Vernon Hargreaves\HargVe00,TAM,21,CB,16,16,1,0,0,0,10,1,0,0,0,0,,68,8,
42,Rodney McLeod\McLeRo00,PHI,26,S,16,16,3,5,0,5,7,1,0,0,0,0,1.0,68,12,
43,Nigel Bradham\BradNi00,PHI,27,LB,16,16,1,28,0,28,5,2,0,1,0,0,2.0,67,31,
44,Lavonte David\DaviLa00,TAM,26,LB,16,16,1,15,1,15,3,4,0,2,53,0,5.0,67,20,
45,Byron Jones\JoneBy00,DAL,24,FS/s,16,16,1,7,0,7,10,1,0,0,0,0,,67,14,
46,Kurt Coleman\ColeKu99,CAR,28,fs/SS,15,15,4,57,1,37,7,1,0,0,0,0,1.0,65,30,
47,Deone Bucannon\BucaDe00,ARI,24,LB,13,13,0,0,0,0,2,0,0,1,0,0,,64,25,
48,Todd Davis\DaviTo01,DEN,24,LB,16,15,0,0,0,0,3,1,0,1,1,0,0.5,64,33,
49,Devin McCourty*\McCoDe99,NWE,29,S,16,16,1,0,0,0,7,1,0,1,3,0,,64,14,
50,Jatavis Brown\BrowJa05,SDG,22,lb,12,7,0,0,0,0,6,2,0,1,0,0,3.5,63,13,
